,,,,,,,,,
53,MOUSE4,002FBE7326C4,2,2,BOTH,01-Apr-2019,21:44:46,01-Apr-2019,21:45:07
54,MOUSE4,002FBE7326C4,5,2,BOTH,01-Apr-2019,21:45:15,01-Apr-2019,21:45:57
55,MOUSE4,002FBE7326C4,2,2,BOTH,01-Apr-2019,21:49:10,01-Apr-2019,21:49:31
56,MOUSE4,002FBE7326C4,2,2,BOTH,01-Apr-2019,21:49:55,01-Apr-2019,21:50:16
57,MOUSE4,002FBE7326C4,5,2,BOTH,01-Apr-2019,21:50:36,01-Apr-2019,21:51:19
58,MOUSE4,002FBE7326C4,2,2,BOTH,01-Apr-2019,21:51:39,01-Apr-2019,21:52:00
59,MOUSE4,002FBE7326C4,6,2,BOTH,01-Apr-2019,21:52:14,01-Apr-2019,21:53:04
60,MOUSE4,002FBE7326C4,1,2,BOTH,01-Apr-2019,21:54:07,01-Apr-2019,21:54:24
61,MOUSE4,002FBE7326C4,14,2,BOTH,01-Apr-2019,21:55:36,01-Apr-2019,21:57:24
62,MOUSE4,002FBE7326C4,9,2,BOTH,01-Apr-2019,21:59:01,01-Apr-2019,22:00:12
63,MOUSE4,002FBE7326C4,9,2,BOTH,01-Apr-2019,22:00:51,01-Apr-2019,22:02:01
64,MOUSE4,002FBE7326C4,9,2,BOTH,01-Apr-2019,22:05:22,01-Apr-2019,22:06:33
65,MOUSE4,002FBE7326C4,6,2,BOTH,01-Apr-2019,22:07:27,01-Apr-2019,22:08:16
66,MOUSE4,002FBE7326C4,7,2,BOTH,01-Apr-2019,22:10:42,01-Apr-2019,22:11:38
67,MOUSE4,002FBE7326C4,6,2,BOTH,01-Apr-2019,22:12:10,01-Apr-2019,22:12:59
68,MOUSE4,002FBE7326C4,1,2,BOTH,01-Apr-2019,22:14:33,01-Apr-2019,22:14:46
69,MOUSE4,002FBE7326C4,1,2,BOTH,01-Apr-2019,22:26:50,01-Apr-2019,22:27:01
70,MOUSE4,002FBE7326C4,4,2,BOTH,01-Apr-2019,22:27:13,01-Apr-2019,22:27:47
71,MOUSE4,002FBE7326C4,1,2,BOTH,01-Apr-2019,22:30:44,01-Apr-2019,22:30:55
72,MOUSE4,002FBE7326C4,2,2,BOTH,01-Apr-2019,22:31:04,01-Apr-2019,22:31:26
73,MOUSE4,002FBE7326C4,3,2,BOTH,01-Apr-2019,22:31:38,01-Apr-2019,22:32:07
74,MOUSE4,002FBE7326C4,1,3,BOTH,01-Apr-2019,22:39:52,01-Apr-2019,22:40:05
75,MOUSE4,002FBE7326C4,5,3,BOTH,01-Apr-2019,22:40:24,01-Apr-2019,22:41:07
76,MOUSE4,002FBE7326C4,6,3,BOTH,01-Apr-2019,22:41:38,01-Apr-2019,22:42:27
77,MOUSE4,002FBE7326C4,3,3,BOTH,01-Apr-2019,22:45:08,01-Apr-2019,22:45:39
78,MOUSE4,002FBE7326C4,10,3,BOTH,01-Apr-2019,22:45:54,01-Apr-2019,22:47:13
79,MOUSE4,002FBE7326C4,8,3,BOTH,01-Apr-2019,22:49:04,01-Apr-2019,22:50:06
80,MOUSE4,002FBE7326C4,1,3,BOTH,01-Apr-2019,22:50:23,01-Apr-2019,22:50:34
81,MOUSE4,002FBE7326C4,4,3,BOTH,01-Apr-2019,22:50:46,01-Apr-2019,22:51:23
82,MOUSE4,002FBE7326C4,6,3,BOTH,01-Apr-2019,23:12:04,01-Apr-2019,23:12:53
